empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
RIE_027,riesgo_burnout_Corp_27,Bilbao,Consultoría,Grande,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_028,riesgo_burnout_Corp_28,Madrid,Tech,Grande,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_029,riesgo_burnout_Corp_29,Bilbao,E-commerce,Mediana,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_030,riesgo_burnout_Corp_30,Bilbao,E-commerce,Pequeña,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_031,riesgo_burnout_Corp_31,Madrid,Tech,Grande,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_032,riesgo_burnout_Corp_32,Bilbao,Fintech,Mediana,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_033,riesgo_burnout_Corp_33,Madrid,E-commerce,Micro,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_034,riesgo_burnout_Corp_34,Barcelona,Fintech,Mediana,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_035,riesgo_burnout_Corp_35,Barcelona,Fintech,Micro,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_036,riesgo_burnout_Corp_36,Barcelona,E-commerce,Grande,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_037,riesgo_burnout_Corp_37,Bilbao,E-commerce,Micro,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_038,riesgo_burnout_Corp_38,Madrid,E-commerce,Pequeña,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_039,riesgo_burnout_Corp_39,Bilbao,Tech,Grande,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_040,riesgo_burnout_Corp_40,Madrid,Fintech,Pequeña,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_041,riesgo_burnout_Corp_41,Madrid,Fintech,Pequeña,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_042,riesgo_burnout_Corp_42,Barcelona,E-commerce,Mediana,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_043,riesgo_burnout_Corp_43,Barcelona,E-commerce,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_044,riesgo_burnout_Corp_44,Barcelona,Consultoría,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_045,riesgo_burnout_Corp_45,Bilbao,Consultoría,Pequeña,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_046,riesgo_burnout_Corp_46,Bilbao,E-commerce,Pequeña,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_047,riesgo_burnout_Corp_47,Madrid,E-commerce,Grande,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_048,riesgo_burnout_Corp_48,Madrid,Tech,Mediana,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_049,riesgo_burnout_Corp_49,Barcelona,Fintech,Pequeña,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
