empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
SAL_029,saludable_Corp_29,Bilbao,Consultoría,Mediana,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_030,saludable_Corp_30,Madrid,E-commerce,Grande,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_031,saludable_Corp_31,Madrid,Fintech,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_032,saludable_Corp_32,Madrid,E-commerce,Grande,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_033,saludable_Corp_33,Madrid,Tech,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_034,saludable_Corp_34,Madrid,E-commerce,Pequeña,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_035,saludable_Corp_35,Barcelona,Consultoría,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_036,saludable_Corp_36,Barcelona,Fintech,Pequeña,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_037,saludable_Corp_37,Madrid,E-commerce,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_038,saludable_Corp_38,Madrid,Consultoría,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_039,saludable_Corp_39,Barcelona,Fintech,Grande,Tradicional,saludable,2.0,1.8,4.2,1.5
SAL_040,saludable_Corp_40,Madrid,Consultoría,Pequeña,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_041,saludable_Corp_41,Bilbao,Tech,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_042,saludable_Corp_42,Barcelona,Tech,Pequeña,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_043,saludable_Corp_43,Barcelona,Tech,Mediana,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_044,saludable_Corp_44,Barcelona,Consultoría,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_045,saludable_Corp_45,Madrid,E-commerce,Mediana,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_046,saludable_Corp_46,Bilbao,Fintech,Micro,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_047,saludable_Corp_47,Bilbao,E-commerce,Grande,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_048,saludable_Corp_48,Bilbao,Tech,Micro,Tradicional,saludable,2.0,1.8,4.2,1.5
SAL_049,saludable_Corp_49,Barcelona,E-commerce,Mediana,Exigente,saludable,2.0,1.8,4.2,1.5
